"No.","Time","Source","Destination","Protocol","Info"
"330","144.059921","150.1.11.17","150.1.11.18","TCP","46428 > bgp [ACK] Seq=166 Ack=204 Win=16181 Len=0"
"331","144.891528","192.168.1.49","224.0.0.2","LDP","Hello Message "
"332","145.636372","192.168.1.17","192.168.1.33","BGP","KEEPALIVE Message"
"333","145.645306","192.168.1.33","192.168.1.17","BGP","KEEPALIVE Message"
"334","145.843261","192.168.1.17","192.168.1.33","TCP","51661 > bgp [ACK] Seq=881 Ack=574 Win=16365 Len=0"
"335","148.290555","192.168.1.50","224.0.0.10","EIGRP","Hello"
"336","148.599617","192.168.1.50","224.0.0.2","LDP","Hello Message "
"337","148.705206","192.168.1.49","224.0.0.10","EIGRP","Hello"
"338","148.705311","192.168.1.49","224.0.0.2","LDP","Hello Message "
"339","149.767723","150.1.11.18","150.1.11.17","BGP","UPDATE Message, UPDATE Message, UPDATE Message, UPDATE Message"
"340","149.768016","150.1.11.50","150.1.11.49","BGP","UPDATE Message, UPDATE Message"
"341","149.955954","150.1.11.49","150.1.11.50","TCP","38417 > bgp [ACK] Seq=233 Ack=305 Win=16080 Len=0"
"342","149.964579","150.1.11.17","150.1.11.18","TCP","46428 > bgp [ACK] Seq=166 Ack=406 Win=15979 Len=0"
"343","152.503361","192.168.1.49","224.0.0.2","LDP","Hello Message "
"344","152.692628","192.168.1.50","224.0.0.10","EIGRP","Hello"
"345","152.858886","","","Q.933","STATUS ENQUIRY"
"346","152.859691","","","Q.933","STATUS"
"347","152.960292","150.1.11.17","224.0.0.5","OSPF","Hello Packet"
"348","153.228038","192.168.1.49","224.0.0.10","EIGRP","Hello"
"349","153.298286","192.168.1.50","224.0.0.2","LDP","Hello Message "
"350","156.713403","192.168.1.49","224.0.0.2","LDP","Hello Message "
"351","157.507294","192.168.1.50","224.0.0.10","EIGRP","Hello"
"352","157.621537","192.168.1.49","224.0.0.10","EIGRP","Hello"
"353","158.006339","192.168.1.50","224.0.0.2","LDP","Hello Message "
"354","160.542068","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"355","160.542551","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"356","160.558401","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"357","160.560091","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"358","160.563182","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"359","160.572979","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"360","160.583824","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"361","160.587573","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
"362","160.591202","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"363","160.593351","10.1.11.49","10.2.12.49","ICMP","Echo (ping) request"
"364","160.598483","10.2.12.49","10.1.11.49","ICMP","Echo (ping) reply"
